time,NDVI
2025-08-13,0.419
2025-08-29,0.412
2025-09-14,0.374
2025-09-30,0.434
2025-10-16,0.163
2025-11-01,0.396
2025-11-17,0.424
2025-12-03,0.415
2025-12-19,0.421
2026-01-01,0.254
